Date,Open,High,Low,Close
3/8/2023,"22,057","22,272","21,872","22,093"
3/9/2023,"22,093","22,108","20,078","20,120"
3/10/2023,"20,118","20,475","19,580","19,977"
3/11/2023,"19,977","20,880","19,865","20,535"
3/12/2023,"20,535","21,582","20,453","21,072"
3/13/2023,"21,073","24,574","21,056","24,353"
3/14/2023,"24,354","26,502","24,054","25,135"
3/15/2023,"25,164","25,269","23,946","24,423"
3/16/2023,"24,423","25,200","24,224","25,022"
3/17/2023,"25,022","26,999","24,697","26,886"
3/18/2023,"26,887","27,818","26,651","27,425"
3/19/2023,"27,425","28,434","26,896","28,335"
3/20/2023,"28,336","28,554","27,236","27,865"
3/21/2023,"27,865","28,492","27,423","28,209"
3/22/2023,"28,210","28,889","26,736","26,736"
3/23/2023,"26,742","28,800","26,685","28,430"
3/24/2023,"28,429","28,480","27,495","27,849"
3/25/2023,"27,849","27,883","27,059","27,217"
3/26/2023,"27,220","28,211","27,191","27,859"
3/27/2023,"27,859","28,162","26,545","26,968"
3/28/2023,"26,970","27,502","26,669","27,430"
3/29/2023,"27,432","28,633","27,132","28,407"
3/30/2023,"28,415","29,173","27,730","27,983"
3/31/2023,"27,983","28,645","27,546","28,465"
4/1/2023,"28,472","28,801","28,273","28,396"
4/2/2023,"28,396","28,584","27,880","27,958"
4/3/2023,"27,959","28,498","27,586","28,087"
4/4/2023,"28,087","28,430","27,273","28,195"
4/5/2023,"28,196","28,778","27,839","28,253"
4/6/2023,"28,253","28,304","27,730","28,031"
4/7/2023,"28,032","28,133","27,800","27,920"
4/8/2023,"27,920","28,165","27,868","27,940"
4/9/2023,"27,941","28,264","27,824","28,151"
4/10/2023,"28,151","29,314","28,115","29,195"
4/11/2023,"29,195","30,549","29,099","30,164"
4/12/2023,"30,164","30,500","29,699","29,801"
4/13/2023,"29,812","30,607","29,797","30,363"
4/14/2023,"30,363","31,020","30,019","30,347"
4/15/2023,"30,345","30,610","30,243","30,357"
4/16/2023,"30,357","30,563","30,163","30,332"
4/17/2023,"30,333","30,426","29,267","29,485"
4/18/2023,"29,485","30,480","29,136","30,239"
4/19/2023,"30,239","30,453","29,045","29,239"
4/20/2023,"29,239","29,317","28,010","28,100"
4/21/2023,"28,099","28,358","27,208","27,281"
4/22/2023,"27,281","27,775","27,153","27,629"
4/23/2023,"27,629","27,878","27,354","27,477"
4/24/2023,"27,478","27,992","27,000","27,380"
4/25/2023,"27,381","27,761","27,206","27,623"
4/26/2023,"27,622","30,008","27,622","27,911"
4/27/2023,"27,910","29,882","27,274","29,683"
4/28/2023,"29,687","29,777","28,932","29,342"
4/29/2023,"29,343","29,456","29,078","29,262"
4/30/2023,"29,262","29,961","29,117","29,380"
5/1/2023,"29,380","29,506","27,818","27,849"
5/2/2023,"27,847","28,891","27,684","28,710"
5/3/2023,"28,709","28,831","28,168","28,343"
5/4/2023,"28,343","29,367","28,307","28,898"
5/5/2023,"28,898","29,690","28,777","29,578"
5/6/2023,"29,589","29,849","28,445","28,902"
5/7/2023,"28,902","29,169","28,712","28,952"
5/8/2023,"28,951","28,983","27,321","27,345"
5/9/2023,"27,346","27,823","27,295","27,719"
5/10/2023,"27,719","28,325","26,855","27,710"
5/11/2023,"27,710","27,986","26,750","26,851"
5/12/2023,"26,851","27,088","25,855","26,478"
5/13/2023,"26,475","27,047","26,376","26,863"
5/14/2023,"26,862","27,194","26,613","26,892"
5/15/2023,"26,892","27,661","26,765","27,415"
5/16/2023,"27,415","27,421","26,873","26,941"
5/17/2023,"26,941","27,426","26,580","27,375"
5/18/2023,"27,376","27,467","26,392","26,758"
5/19/2023,"26,758","27,169","26,657","26,840"
