Date,Open,High,Low,Close
3/8/2023,"3,987.55","4,000.41","3,969.76","3,992.01"
3/9/2023,"3,998.66","4,017.81","3,908.70","3,918.32"
3/10/2023,"3,912.77","3,934.05","3,846.32","3,861.59"
3/13/2023,"3,835.12","3,905.05","3,808.86","3,855.76"
3/14/2023,"3,894.01","3,937.29","3,873.63","3,919.29"
3/15/2023,"3,876.74","3,894.26","3,838.24","3,891.93"
3/16/2023,"3,878.93","3,964.46","3,864.11","3,960.28"
3/17/2023,"3,958.69","3,958.91","3,901.27","3,916.64"
3/20/2023,"3,917.47","3,956.62","3,916.89","3,951.57"
3/21/2023,"3,975.89","4,009.08","3,971.19","4,002.87"
3/22/2023,"4,002.04","4,039.49","3,936.17","3,936.97"
3/23/2023,"3,959.21","4,007.66","3,919.05","3,948.72"
3/24/2023,"3,939.21","3,972.74","3,909.16","3,970.99"
3/27/2023,"3,982.93","4,003.83","3,970.49","3,977.53"
3/28/2023,"3,974.13","3,979.20","3,951.53","3,971.27"
3/29/2023,"3,999.53","4,030.59","3,999.53","4,027.81"
3/30/2023,"4,046.74","4,057.85","4,032.10","4,050.83"
3/31/2023,"4,056.18","4,110.75","4,056.18","4,109.31"
4/3/2023,"4,102.20","4,127.66","4,098.79","4,124.51"
4/4/2023,"4,128.03","4,133.13","4,086.87","4,100.60"
4/5/2023,"4,094.50","4,099.69","4,072.56","4,090.38"
4/6/2023,"4,081.58","4,107.32","4,069.84","4,105.02"
4/10/2023,"4,085.20","4,109.50","4,072.55","4,109.11"
4/11/2023,"4,110.29","4,124.26","4,102.61","4,108.94"
4/12/2023,"4,121.72","4,134.37","4,086.94","4,091.95"
4/13/2023,"4,100.04","4,150.26","4,099.40","4,146.22"
4/14/2023,"4,140.11","4,163.19","4,113.20","4,137.64"
4/17/2023,"4,137.17","4,151.72","4,123.18","4,151.32"
4/18/2023,"4,164.26","4,169.48","4,140.36","4,154.87"
4/19/2023,"4,139.33","4,162.57","4,134.49","4,154.52"
4/20/2023,"4,130.48","4,148.57","4,114.57","4,129.79"
4/21/2023,"4,132.14","4,138.02","4,113.86","4,133.52"
4/24/2023,"4,132.07","4,142.41","4,117.77","4,137.04"
4/25/2023,"4,126.43","4,126.43","4,071.38","4,071.63"
4/26/2023,"4,087.78","4,089.67","4,049.35","4,055.99"
4/27/2023,"4,075.29","4,138.24","4,075.29","4,135.35"
4/28/2023,"4,129.63","4,170.06","4,127.18","4,169.48"
5/1/2023,"4,166.79","4,186.92","4,164.12","4,167.87"
5/2/2023,"4,164.10","4,164.10","4,089.72","4,119.58"
5/3/2023,"4,122.25","4,148.30","4,088.86","4,090.75"
5/4/2023,"4,082.55","4,082.61","4,048.28","4,061.22"
5/5/2023,"4,084.73","4,147.02","4,084.73","4,136.25"
5/8/2023,"4,136.98","4,142.30","4,123.81","4,138.12"
5/9/2023,"4,124.25","4,130.35","4,116.65","4,119.17"
5/10/2023,"4,143.74","4,154.28","4,098.92","4,137.64"
5/11/2023,"4,132.24","4,132.80","4,109.29","4,130.62"
5/12/2023,"4,138.54","4,143.74","4,099.12","4,124.08"
5/15/2023,"4,126.65","4,141.25","4,110.27","4,136.28"
5/16/2023,"4,127.95","4,135.54","4,109.86","4,109.90"
5/17/2023,"4,122.85","4,164.67","4,113.62","4,158.77"
5/18/2023,"4,157.68","4,202.20","4,153.50","4,198.05"
5/19/2023,"4,204.15","4,212.91","4,180.20","4,191.98"
5/22/2023,"4,190.78","4,209.22","4,179.68","4,192.63"
5/23/2023,"4,176.80","4,185.68","4,142.54","4,145.58"
5/24/2023,"4,132.96","4,132.96","4,103.98","4,115.24"
5/25/2023,"4,155.71","4,165.74","4,129.73","4,151.28"
5/26/2023,"4,155.98","4,212.87","4,156.16","4,205.45"
5/30/2023,"4,226.71","4,231.10","4,192.18","4,205.52"
5/31/2023,"4,190.74","4,195.44","4,166.15","4,179.83"
6/1/2023,"4,183.03","4,232.43","4,171.64","4,221.02"
6/2/2023,"4,241.01","4,290.67","4,241.01","4,282.37"
6/5/2023,"4,282.99","4,299.28","4,266.82","4,273.79"
6/6/2023,"4,271.34","4,288.33","4,263.09","4,283.85"
6/7/2023,"4,285.47","4,299.19","4,263.96","4,267.52"
6/8/2023,"4,268.69","4,298.01","4,261.07","4,293.93"
6/9/2023,"4,304.88","4,322.62","4,291.70","4,298.86"
6/12/2023,"4,308.32","4,340.13","4,304.37","4,338.93"
6/13/2023,"4,352.61","4,375.37","4,349.31","4,369.01"
6/14/2023,"4,366.29","4,391.82","4,337.85","4,372.59"
6/15/2023,"4,365.33","4,439.20","4,362.60","4,425.84"
6/16/2023,"4,442.70","4,448.47","4,407.44","4,409.59"
6/20/2023,"4,396.11","4,400.15","4,367.19","4,388.71"
6/21/2023,"4,380.01","4,386.22","4,360.14","4,365.69"
6/22/2023,"4,355.40","4,382.25","4,351.82","4,381.89"
