Date,Open,High,Low,Close,Volume
3/8/2023,185.04,186.5,180,182,"151,897,797"
3/9/2023,180.25,185.18,172.51,172.92,"170,023,812"
3/10/2023,175.13,178.29,168.44,173.44,"191,488,891"
3/13/2023,167.46,177.35,163.91,174.48,"167,790,297"
3/14/2023,177.31,183.8,177.14,183.26,"143,717,906"
3/15/2023,180.8,182.34,176.03,180.45,"145,995,594"
3/16/2023,180.37,185.81,178.84,184.13,"121,374,492"
3/17/2023,184.52,186.22,177.33,180.13,"133,197,109"
3/20/2023,178.08,186.44,176.35,183.25,"129,684,398"
3/21/2023,188.28,198,188.04,197.58,"153,391,391"
3/22/2023,199.3,200.66,190.95,191.15,"150,376,406"
3/23/2023,195.26,199.31,188.65,192.22,"144,193,906"
3/24/2023,191.65,192.36,187.15,190.41,"116,531,602"
3/27/2023,194.42,197.39,189.94,191.81,"120,851,602"
3/28/2023,192,192.35,185.43,189.19,"98,654,641"
3/29/2023,193.13,195.29,189.44,193.88,"123,660,000"
3/30/2023,195.58,197.33,194.42,195.28,"110,252,203"
3/31/2023,197.53,207.79,197.2,207.46,"170,222,094"
4/3/2023,199.91,202.69,192.2,194.77,"169,545,906"
4/4/2023,197.32,198.74,190.32,192.58,"126,463,797"
4/5/2023,190.52,190.68,183.76,185.52,"133,882,500"
4/6/2023,183.08,186.39,179.74,185.06,"123,857,906"
4/10/2023,179.94,185.1,176.11,184.51,"142,154,594"
4/11/2023,186.69,189.19,185.65,186.79,"115,770,898"
4/12/2023,190.74,191.58,180.31,180.54,"150,256,297"
4/13/2023,182.96,186.5,180.94,185.9,"112,933,000"
4/14/2023,183.95,186.28,182.01,185,"96,438,656"
4/17/2023,186.32,189.69,182.69,187.04,"116,662,203"
4/18/2023,187.15,187.69,183.58,184.31,"92,067,023"
4/19/2023,179.1,183.5,177.65,180.59,"125,732,703"
4/20/2023,166.17,169.7,160.56,162.99,"210,970,797"
4/21/2023,164.8,166,161.32,165.08,"123,539,000"
4/24/2023,164.65,165.65,158.61,162.55,"140,006,594"
4/25/2023,159.82,163.47,158.75,160.67,"121,999,297"
4/26/2023,160.29,160.67,153.14,153.75,"153,364,094"
4/27/2023,152.64,160.48,152.37,160.19,"127,015,203"
4/28/2023,160.9,165,157.32,164.31,"122,515,797"
5/1/2023,163.17,163.28,158.83,161.83,"109,015,000"
5/2/2023,161.88,165.49,158.93,160.31,"128,259,695"
5/3/2023,160.01,165,159.91,160.61,"119,728,000"
5/4/2023,162.71,162.95,159.65,161.2,"95,108,484"
5/5/2023,163.97,170.79,163.51,170.06,"107,607,297"
5/8/2023,173.72,173.8,169.19,171.79,"112,249,398"
5/9/2023,168.95,169.82,166.56,169.15,"88,965,039"
5/10/2023,172.55,174.43,166.68,168.54,"119,840,703"
5/11/2023,168.7,173.57,166.79,172.08,"103,889,906"
5/12/2023,176.07,177.38,167.23,167.98,"157,849,594"
5/15/2023,167.66,169.76,164.55,166.35,"105,592,492"
5/16/2023,165.65,169.52,164.35,166.52,"98,288,789"
5/17/2023,168.41,174.5,167.19,173.86,"125,473,602"
5/18/2023,174.22,177.06,172.45,176.89,"109,520,305"
5/19/2023,177.17,181.95,176.31,180.14,"136,196,703"
5/22/2023,180.7,189.32,180.11,188.87,"132,001,406"
5/23/2023,186.2,192.96,185.26,185.77,"156,952,094"
5/24/2023,182.23,184.22,178.22,182.9,"137,605,109"
5/25/2023,186.54,186.78,180.58,184.47,"96,870,719"
5/26/2023,184.62,198.6,184.53,193.17,"162,061,500"
5/30/2023,200.1,204.48,197.53,201.16,"128,818,703"
5/31/2023,199.78,203.95,195.12,203.93,"150,711,703"
6/1/2023,202.59,209.8,199.37,207.52,"148,029,906"
6/2/2023,210.15,217.25,209.75,213.97,"164,398,406"
6/5/2023,217.8,221.29,214.52,217.61,"151,143,109"
6/6/2023,216.14,221.91,212.53,221.31,"146,911,594"
6/7/2023,228,230.83,223.2,224.57,"185,710,797"
6/8/2023,224.22,235.23,223.01,234.86,"164,489,703"
6/9/2023,249.07,252.42,242.02,244.4,"200,242,406"
6/12/2023,247.94,250.97,244.59,249.83,"150,740,500"
6/13/2023,253.51,259.68,251.34,258.71,"162,384,297"
6/14/2023,260.17,261.57,250.5,256.79,"170,575,500"
